recipient,reason,rewardToken,rewardAmount
0x9aCf8D0315094d33Aa6875B673EB126483C3A2c0,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,193.804037
0xb957DccaA1CCFB1eB78B495B499801D591d8a403,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,192.856523
0x044a9c43e95AA9FD28EEa25131A62b602D304F1f,ERC20,PYTH,192.224074
0x65B43554DE616A5102152f00C8Cb09f1B5063ca2,ERC20,PYTH,191.330231
0x6E65Ce4Cc07fEB24b7D0439422B7FE58b93b9Cf6,ERC20,PYTH,190.525998
0x81AcBa11a66E9EdEABaA2Ff28101153724892eB7,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,180.70411
0x4f3cD1e0b027a620a1db670F7A2189BB29C6a534,ERC20,PYTH,173.373148
0x31F048c427544b40Dea9b63E26749C925Bf5D931,ERC20,PYTH,171.153143
0x247bc6556B5d14416332575eBC6a2e65D9DB3109,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,161.529017
0xC3598d91844B061195136600AD243b077Cc164e2,ERC20,PYTH,159.248743
0x5D0aC389c669D6EFE3BA96B9878d8156f180C539,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,158.719949
0xE515Ca170A2f702217722098CB0DC6A5cAD8D1f7,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,154.60167
0xEC5a0Dff55be882FAFe863895ef144b78aaEF097,ERC20,PYTH,153.753558
0xA429aC8bD9382E7F69645cc30bD718b5d33D674b,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,151.107188
0xeb63ee9c8bE4C1D14C6D352Fad5ca8f933BE7af8,ERC20,PYTH,148.413658
0x56333e65E28ECAb0C3e0A157eC441dd56672F061,ERC20,PYTH,145.612566
0x14B17f54bE2c41D7B1CaB0b299901a54bd957EAf,ERC20,PYTH,141.823187
0x6CD71d6Cb7824add7c277F2CA99635D98F8b9248,ERC20,PYTH,139.664825
0x154001A2F9f816389b2F6D9E07563cE0359D813D,ERC20,PYTH,138.300713
0x579B48Fa60E901E75a8c143bB1ADc04D738535f8,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,138.260564
0x9AA4E6641FEfD0764BfEBDeda637E7782d7eD4dc,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,135.719574
0x6C8E4D6f376336871821Dbe369BFE444fDd1fc99,ERC20,PYTH,135.455607
0x3609462f90D6291735dccfF4141b3e315e1CdB28,ERC20,PYTH,130.41405
0xC8EE3a64D20422Cf476E325B1978E5f10d0F59D2,ERC20,PYTH,125.396809
0x8Cc8Aa103bfE1CD8755DC80C64539370B587909F,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,124.172934
0x5EDCf547eCE0EA1765D6C02e9E5bae53b52E09D4,ERC20,PYTH,124.084331
0x9774e28baaA1e722673E45AD8FDc7666B3AA252E,ERC20,PYTH,118.467628
0x643430283B19fA5BD70A1138B495c2B43523CDd5,ERC20,PYTH,116.024534
0x5ac2dE84277ab83A1385227e8E9BfDdf3893ac69,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,115.411085
0xB21731D830b7e8460E5D6c66Dc1CcC0A5D0A6B87,ERC20,PYTH,114.193075
0xC81F0ED1403094a26543df05DADFebABb15A12c6,ERC20,PYTH,113.43149
0x788a5AB87d7f8De001386d1D65844fD26C317B7E,ERC20,PYTH,113.156264
0xa404D15D0847790Edb0FF09B8909A15d0Ff70A0a,ERC20,PYTH,108.821175
0x8BEba996BeCDC95A6097fB0587f468Fc3348Ce2E,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,108.334373
0x95Ab81Bc1532C8A696d89365f2e6f76a404Fe4DF,ERC20,PYTH,107.782203
0xbcc181046fd96CCaDF0CEBe30D4Ff67D4373A126,ERC20,PYTH,107.196251
0xD6587a974C7D3ecE23Fa53d5606da6B291311F6f,ERC20,PYTH,107.186947
0xA583F99495077952103235Ad50606246d69e829f,ERC20,PYTH,105.580241
0xa116f421ff82A9704428259fd8CC63347127B777,ERC20,PYTH,103.589886
0x37bE92f21943dC91629d884F8C41C8203024633a,ERC20,PYTH,101.75802
0xedEBdcE8D3cE41dA2355699e350EE89335dD2f15,ERC20,PYTH,99.804844
0xf23E1bEFC889Ac30991762eD44fbD8EBF260419b,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,96.248567
0xc933f86D3DB055Bb0BE2E5B348cEE46C2eC1A425,ERC20,PYTH,95.027699
0x37EC326e2EAaFa21c2b22722c94e06c9084Dce7C,ERC20,PYTH,94.922406
0x76b8579694d1769a0390aDb3b199085845804cC1,ERC20,PYTH,94.091613
0x4B40F8fFe23BaC2035978a79077068DfA08c591f,ERC20,PYTH,93.396054
0x391891Af67E29D97E61E30C3036a0874F5Da411e,ERC20,PYTH,91.982559
0xdEE2d4680a9A433ed4C56C57B98A28b4d9f9244b,ERC20,PYTH,91.348947
0x0Df3206a98F9feAD898Cd5Bb8CedA5BB8DC9563c,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,90.894194
0x2D1F98e03Ee1261e87718dcA1654d357f582aaF9,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,90.532097
0xEe814D1926ff52d3BD6853B27e350E482DeED222,ERC20,PYTH,87.327049
0xF2baa666e9D04e29147353EBa49E9f621990CE24,ERC20,PYTH,81.497804
0x50eB093f32492A7d7cAc2D151c08fC8b74910Ed2,ERC20,PYTH,81.453433
0x161a22AbaB390B5BEeBa42E4121F8343F6Ed5C44,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,80.716982
0x9ADA95Ce2a188C51824Ef76Dd49850330AF7545F,ERC20,PYTH,80.298124
0x18279b53E9039866f0c5272DDd68B68A5f0e3359,ERC20,PYTH,79.346639
0x3eF888B04FF1bF86247CF581Ae397530A017c8d9,ERC20,PYTH,79.085911
0x590d98993AC88905d57E7410937EBD82B1d3b2E4,ERC20,PYTH,78.170962
0x520bac9FD09D10BD4eA44f120f283354D2077fd3,ERC20,PYTH,77.852464
0xA7499Aa6464c078EeB940da2fc95C6aCd010c3Cc,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,77.175203
0x24f8D92794A283B454D1Fc32722F51A4f3Bc1ae5,ERC20,PYTH,75.080371
0x5228b399Ff05f4Fc2e643a19B3304449f510E518,ERC20,PYTH,74.862215
0x71045fE3685095cd048Fc5f59ff4a931a859A462,ERC20,PYTH,74.010177
0xEa0f2952E7130C2029F88D3E95d9D775439fEEc6,ERC20,PYTH,73.88007
0xd682fb159a2cBC47DE97A046D76391dDae104988,ERC20,PYTH,71.768259
0x089A2C44131b1Eb30CC4fc226560163FcEF2C288,ERC20,PYTH,71.587654
0x3C37c0738C273756D508ebef1010A77F9A1Bd181,ERC20,PYTH,71.098931
0x4062b997279dE7213731dbe00485722a26718892,ERC20,PYTH,70.927923
0x8AfC7fD1C734a8BBCf74993D26816aC86EC37faf,ERC20,PYTH,70.864179
0x8d35bD9CAb090aF815d872e75D02d77CE826E481,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,69.671389
0x57740dD5FED3b8fF777BbBe73e5D7510B1daF318,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,69.002631
0x2fBa909aeD4345ac0C67c75C51d955f822b14629,ERC20,PYTH,68.386317
0x17FF46a45d10d8b2ef5b14C73F859D116e10dB4f,ERC20,PYTH,68.237913
0xEA7d6A3873CBB644a2FA3a124b00a25C33C661b8,ERC20,PYTH,64.994126
0x6359d66Fe2c49843D63B36fc26a62b0522f9a618,ERC20,PYTH,64.898685
0x2d1EF4aCf4cae6a38950971AaAA15f88D9b3f165,ERC20,PYTH,62.863453
0x5B78AE09929C53C77Ba29a13265e35a2f62Dd89F,ERC20,PYTH,62.700155
0xc540b6748f64547e213F8E4dBE84f23dA416794c,ERC20,PYTH,62.41258
0x34ab6cc693ED5F706eceCE5F8074eDff3eD58BCf,ERC20,PYTH,60.94534
0xA75204De25E91F82c5B0B849B247515153AC61e9,ERC20,PYTH,60.937918
0x57f85277a44ba3B4a725236F46473df2B9bE9BF3,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,60.868831
0x61fdff48D154c6079E43CBf14027057b367cb3b2,ERC20,PYTH,59.233596
0x6ab791754298D6D6d7C182DC1572126B4eD24897,ERC20,PYTH,57.052172
0x02eF8147E2D0997cCA48d99f01bAD846D16558fa,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,56.405517
0x6746084d7B7B3ae37767DE3b2e960c361aeC3e18,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,55.629527
0x00957d7b5b9155Ea78D89F747Dc0FCaAd52Ba243,ERC20,PYTH,55.395548
0x6Beb9286AC85d7cF638d86286A9AE098b33688e2,ERC20,PYTH,54.987682
0xcE968c0fC101C4FB8e08EB5dB73E7E169A2A3562,ERC20,PYTH,54.416109
0x4334703B0B74E2045926f82F4158A103fCE1Df4f,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,52.0303
0xD7E8311a47518c4f59ce3d7E3f59a1Bb0713899F,ERC20,PYTH,51.863744
0x49a5492FDFe5AcC966dD5f41310dfDfe8dAA349C,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,51.201489
